b,g,r,clase
0,140,124,1
176,199,204,1
155,170,171,1
189,206,204,1
226,245,242,1
216,239,235,1
185,216,211,1
214,238,234,1
252,240,241,1
233,224,226,1
212,232,229,1
182,236,228,1
117,210,195,1
66,166,150,1
140,202,192,1
224,248,244,1
220,245,240,1
183,226,219,1
117,159,151,1
183,204,200,1
246,247,247,1
233,230,230,1
226,227,225,1
227,236,233,1
210,228,223,1
200,222,216,1
194,211,204,1
205,213,207,1
227,228,224,1
207,208,203,1
182,183,177,1
200,204,197,1
228,235,228,1
221,222,217,1
206,198,194,1
224,215,211,1
240,236,233,1
236,237,236,1
226,231,229,1
225,237,233,1
206,235,228,1
135,185,175,1
101,163,151,1
159,212,202,1
221,255,249,1
230,248,244,1
240,242,240,1
246,240,240,1
248,241,240,1
249,240,240,1
253,239,239,1
255,238,239,1
248,240,240,1
233,243,240,1
221,245,239,1
223,242,237,1
229,240,236,1
233,239,237,1
235,239,237,1
236,239,237,1
238,239,237,1
239,238,237,1
240,237,236,1
241,237,236,1
242,237,236,1
246,240,239,1
248,240,240,1
247,239,239,1
247,239,239,1
246,238,238,1
246,238,238,1
246,239,238,1
245,239,239,1
244,239,238,1
242,238,237,1
241,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
239,238,234,1
240,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
237,235,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
237,235,234,1
240,238,237,1
241,239,238,1
241,239,238,1
241,239,238,1
242,240,239,1
242,240,239,1
242,240,239,1
243,241,240,1
243,242,241,1
242,239,237,1
240,235,232,1
240,235,232,1
240,235,232,1
239,234,231,1
239,234,231,1
239,234,231,1
238,233,230,1
238,233,230,1
238,233,230,1
238,233,230,1
238,233,230,1
238,233,230,1
237,232,229,1
237,232,229,1
236,231,228,1
236,231,228,1
236,231,228,1
236,231,228,1
236,231,228,1
237,232,229,1
237,232,229,1
236,231,228,1
236,231,228,1
236,231,228,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
234,228,225,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
237,230,227,1
238,231,228,1
236,229,226,1
236,229,226,1
235,228,225,1
233,226,223,1
232,225,222,1
231,224,221,1
231,224,221,1
231,224,221,1
230,225,222,1
230,225,222,1
231,226,223,1
232,227,224,1
233,228,225,1
233,228,225,1
233,228,225,1
234,229,226,1
235,230,227,1
233,227,224,1
231,225,223,1
231,226,223,1
232,227,224,1
233,228,225,1
234,229,226,1
234,229,226,1
235,230,227,1
235,230,227,1
236,231,228,1
234,228,225,1
234,227,223,1
234,227,223,1
233,226,223,1
232,226,222,1
232,225,222,1
231,224,220,1
230,223,220,1
230,223,220,1
229,222,218,1
225,218,215,1
225,218,214,1
224,218,214,1
224,217,214,1
223,216,213,1
222,215,212,1
222,216,212,1
221,214,211,1
221,215,211,1
222,215,209,1
223,214,206,1
222,215,205,1
220,213,204,1
217,211,202,1
217,209,199,1
216,207,197,1
213,204,194,1
212,203,193,1
211,202,191,1
208,199,187,1
207,198,185,1
208,197,185,1
208,196,183,1
207,196,182,1
207,196,182,1
206,195,181,1
205,194,180,1
204,194,180,1
205,194,181,1
207,196,184,1
206,197,184,1
207,196,183,1
207,194,183,1
206,194,181,1
205,194,180,1
205,194,180,1
206,193,179,1
206,193,179,1
207,194,179,1
208,195,179,1
207,194,178,1
208,194,176,1
207,193,175,1
207,192,174,1
207,190,174,1
206,190,173,1
205,189,172,1
205,189,172,1
208,191,173,1
209,192,172,1
208,191,172,1
208,191,172,1
207,190,171,1
206,189,168,1
205,188,167,1
205,188,167,1
205,188,167,1
205,188,167,1
205,188,165,1
205,188,166,1
204,189,164,1
204,189,162,1
204,188,162,1
203,188,162,1
203,188,162,1
203,188,160,1
203,188,160,1
203,187,160,1
202,185,159,1
204,186,159,1
0,95,73,1
0,103,84,1
0,119,101,1
196,204,213,1
156,165,168,1
176,196,194,1
221,245,241,1
222,245,241,1
209,237,233,1
251,246,246,1
220,215,216,1
193,209,207,1
187,240,231,1
224,249,246,1
191,234,228,1
117,162,156,1
177,202,199,1
238,246,244,1
227,233,232,1
220,232,230,1
219,240,235,1
209,240,233,1
185,219,212,1
192,215,210,1
219,228,222,1
214,214,209,1
188,181,178,1
204,197,194,1
218,217,212,1
228,233,228,1
221,227,221,1
190,194,187,1
201,203,197,1
234,233,231,1
238,237,236,1
228,230,228,1
231,240,237,1
207,234,228,1
128,178,168,1
106,166,154,1
166,218,207,1
220,254,247,1
229,247,242,1
241,240,239,1
247,238,238,1
245,236,236,1
249,238,238,1
255,242,242,1
255,241,242,1
247,239,239,1
230,240,237,1
225,246,243,1
228,248,244,1
229,243,239,1
230,238,235,1
227,234,232,1
228,233,231,1
232,235,233,1
238,239,236,1
242,240,239,1
244,240,239,1
244,239,238,1
244,237,236,1
247,239,239,1
249,241,241,1
249,240,241,1
250,242,242,1
247,240,240,1
245,239,238,1
239,234,233,1
239,234,233,1
243,240,239,1
240,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
239,238,234,1
239,238,234,1
239,238,234,1
240,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
239,238,234,1
239,238,234,1
237,235,233,1
236,234,233,1
236,234,233,1
236,234,233,1
237,235,234,1
237,235,234,1
237,235,234,1
